version,model,dataset,accuracy,precision_yes,recall_yes,f1_yes,f1_weighted,roc_auc
original,logistic_regression,validation,0.9702380952380952,0.9818181818181818,0.9878048780487805,0.9848024316109423,0.9681574757562599,0.9070121951219512
original,logistic_regression,test,0.9940828402366864,0.9939759036144579,1.0,0.9969788519637462,0.9936691242756779,0.9590909090909091
original,decision_tree,validation,0.9107142857142857,0.9933774834437086,0.9146341463414634,0.9523809523809523,0.9365079365079364,0.8567073170731707
original,decision_tree,test,0.9704142011834319,0.9938271604938271,0.9757575757575757,0.9847094801223242,0.9743129136213117,0.8613636363636363
original,random_forest,validation,0.9821428571428571,0.9878787878787879,0.9939024390243902,0.9908814589665653,0.9808944854537559,0.9268292682926829
original,random_forest,test,0.9822485207100592,0.9939024390243902,0.9878787878787879,0.9908814589665653,0.9832077360718932,0.9696969696969697
original,knn,validation,0.9761904761904762,0.9761904761904762,1.0,0.9879518072289156,0.9644291451520366,0.836890243902439
original,knn,test,0.9763313609467456,0.9763313609467456,1.0,0.9880239520958084,0.9646387697976828,0.9833333333333334
genetic,logistic_regression,validation,0.9821428571428571,0.9820359281437125,1.0,0.9909365558912386,0.9768666378938281,0.8917682926829268
genetic,logistic_regression,test,0.9940828402366864,0.9939759036144579,1.0,0.9969788519637462,0.9936691242756779,0.953030303030303
genetic,decision_tree,validation,0.9761904761904762,0.9761904761904762,1.0,0.9879518072289156,0.9644291451520366,0.5
genetic,decision_tree,test,0.9763313609467456,0.9763313609467456,1.0,0.9880239520958084,0.9646387697976828,0.5
genetic,random_forest,validation,0.9821428571428571,0.9820359281437125,1.0,0.9909365558912386,0.9768666378938281,0.836890243902439
genetic,random_forest,test,0.9940828402366864,0.9939759036144579,1.0,0.9969788519637462,0.9936691242756779,0.9727272727272727
genetic,knn,validation,0.9821428571428571,0.9820359281437125,1.0,0.9909365558912386,0.9768666378938281,0.7240853658536586
genetic,knn,test,0.9822485207100592,0.9939024390243902,0.9878787878787879,0.9908814589665653,0.9832077360718932,0.8666666666666667
