encoded_feature,pearson_corr_with_target
AnimalName_chicken,-0.48651539827345863
symptoms3_diarrhea,-0.35766414573794353
symptoms2_heavy breathing,-0.3128171811077296
symptoms4_labored breathing,-0.3128171811077296
symptoms3_purplish combs,-0.3128171811077296
symptoms2_hepatitis,-0.3128171811077296
symptoms2_epistaxis,-0.3128171811077296
symptoms5_lesion,-0.3128171811077296
symptoms3_paralyzed leg,-0.3128171811077296
symptoms2_yellow or green dropping,-0.3128171811077296
symptoms4_wattles,-0.3128171811077296
symptoms3_high moratality,-0.3128171811077296
symptoms1_neck paralysis,-0.3128171811077296
symptoms5_drop on egg production,-0.3128171811077296
symptoms3_slow growth,-0.3128171811077296
symptoms5_greenish diarrhea,-0.3128171811077296
symptoms1_severe swellimg,-0.3128171811077296
symptoms1_drooping wings,-0.3128171811077296
symptoms1_weakness,-0.3062939628574317
symptoms2_lacrimation,-0.21606439738725508
symptoms3_skin rashes,-0.21606439738725486
symptoms1_dejection,-0.21606439738725483
symptoms1_facial swelling,-0.1909553198218742
symptoms1_sneezing,-0.1722168297295521
symptoms2_depression,-0.1524675905946443
AnimalName_buffaloes,-0.15111916315183732
symptoms4_difficulty in breathing,-0.14549919209394857
symptoms4_diarrhea,-0.1354566835649572
symptoms3_ruffled feathers,-0.12687063552611705
symptoms4_coughing,-0.12687063552611696
symptoms5_nasal discharge,-0.11872669210404327
symptoms4_dehydration,-0.11282641676924368
symptoms3_nasal discharge,-0.10696117754249487
symptoms1_loss of appetite,-0.10168213691640003
symptoms5_anemia,-0.08130395994158332
symptoms5_weakness,-0.08130395994158306
symptoms1_fever,0.07357091815866772
symptoms4_weight loss,-0.07335695186778485
symptoms4_loss of appetite,-0.07220740344033208
symptoms5_pain,-0.0682129665948482
AnimalName_sheep,0.060228372493628696
AnimalName_monkey,-0.05803393140438849
symptoms5_pains,0.051647328552606606
AnimalName_pig,0.04441440981375083
AnimalName_fowl,0.04403221524255663
AnimalName_elephant,0.042871240337208655
symptoms3_vomiting,0.04287124033720857
AnimalName_duck,0.042084562407136546
symptoms4_lethargy,0.03797362847343501
symptoms5_loss of appetite,-0.037143580655480284
symptoms3_loss of appetite,0.0353338006235427
AnimalName_birds,0.03348237505982965
AnimalName_cat,0.03300629139245722
symptoms4_death,0.03252444695369192
AnimalName_donkey,0.03252444695369109
symptoms5_weight loss,0.03203657725370235
AnimalName_dog,0.03203657725370234
symptoms4_depression,0.028965242055666206
symptoms4_weakness,0.02842582636647741
symptoms2_difficulty in breathing,0.027877337239527167
AnimalName_goat,0.027877337239527112
AnimalName_deer,0.027877337239526595
AnimalName_cattle,0.02558072263586656
symptoms3_lethargy,0.025580722635866488
symptoms4_lameness,0.02497733740051231
symptoms4_sneezing,0.023082335768084727
AnimalName_hamster,0.023082335768084706
symptoms2_diarrhea,-0.022538014212948394
symptoms3_swelling,0.022418382465717233
AnimalName_lion,0.021735840390125927
symptoms3_depression,0.021735840390125903
symptoms5_depression,0.021735840390125848
symptoms5_death,0.021032893613895442
AnimalName_horse,0.021032893613895407
symptoms5_dehydration,0.02030741678786882
symptoms3_weakness,0.020307416787868574
symptoms5_diarrhea,0.02030741678786855
symptoms3_weight loss,0.0187783217923845
symptoms2_chills,0.018778321792384436
symptoms1_wasting,0.017968040410808937
symptoms2_stumbling,0.017968040410808937
symptoms4_drooling,0.017968040410808937
symptoms3_listlessness,0.017968040410808933
symptoms4_blindness,0.01796804041080877
AnimalName_rabbit,0.017968040410808753
symptoms1_swelling,0.01796804041080871
symptoms5_seizures,0.017968040410808673
symptoms1_sudden death,0.01796804041080865
symptoms2_dullness,0.01712154325588631
symptoms2_pneumonia,0.01712154325588622
symptoms5_lameness,0.017121543255886176
symptoms4_skin rashes,0.017121543255886173
symptoms4_vomiting,0.017121543255886166
symptoms2_dull ness,0.017121543255886152
symptoms2_fatigue,0.01712154325588615
symptoms5_fatique,0.01712154325588606
symptoms2_dyspnea,0.017121543255886038
symptoms3_lameness,0.016233157817371852
symptoms3_blindness,0.016233157817371762
symptoms3_change their normal behaviour,0.01623315781737172
symptoms2_difficulty breathing,0.01623315781737171
symptoms1_jaundice,0.015295578669534834
AnimalName_fox,0.01529557866953472
symptoms1_swollen,0.015295578669534711
symptoms3_seizures,0.015295578669534685
symptoms1_emaciation,0.015295578669534586
symptoms2_nasal discharge,0.015295578669534578
symptoms1_dyspnea,0.01529557866953444
symptoms5_neurologic abnormalities,0.014299123395618923
symptoms2_stop drinking,0.01429912339561887
