model,generation,best_recall_cv,mean_recall_cv
logistic_regression,1,1.0,0.9867939600082457
logistic_regression,2,1.0,0.9878092145949289
logistic_regression,3,1.0,0.9989873222016079
logistic_regression,4,1.0,1.0
logistic_regression,5,1.0,0.9862914862914862
decision_tree,1,1.0,0.9046021438878582
decision_tree,2,1.0,1.0
decision_tree,3,1.0,1.0
decision_tree,4,1.0,1.0
decision_tree,5,1.0,1.0
random_forest,1,1.0,0.9380488559059987
random_forest,2,1.0,1.0
random_forest,3,1.0,0.9949185734900021
random_forest,4,1.0,1.0
random_forest,5,1.0,1.0
knn,1,1.0,0.9994949494949494
knn,2,1.0,1.0
knn,3,1.0,0.9997474747474747
knn,4,1.0,1.0
knn,5,1.0,1.0
