symptom,count
fever,275
loss of appetite,189
weight loss,166
diarrhea,154
coughing,111
depression,86
lethargy,83
pains,83
vomiting,75
pain,74
weakness,70
nasal discharge,64
death,60
lameness,44
sneezing,43
swelling,38
difficulty in breathing,38
dehydration,32
dyspnea,24
blindness,24
wasting,21
seizures,21
sudden death,20
skin rashes,20
anemia,20
dullness,18
hair loss,17
fatigue,16
nausea,15
stumbling,15
drooling,15
jaundice,14
emaciation,14
staggering,13
listlessness,13
convulsion,12
swollen,12
chills,12
dull ness,12
abortion,11
respiratory distress,11
trembling,11
pneumonia,10
ruffled feathers,10
fatique,10
difficulty breathing,9
ataxia,9
change their normal behaviour,9
wheezing,8
facial edema,8
cough,8
lying down,8
bloody discharge,8
congestion,8
colic,8
facial swelling,7
limping,7
drooping ears,7
abdominal pain,7
stop eating,7
painfull,7
stiffness,7
high temperature,7
stop drinking,7
bloody,7
difficulty breating,7
head ache,7
neurologic abnormalities,7
loss of appettite,7
upset stomach,6
tenderness,6
discomfort,6
mortality,6
restlessness,6
heavy breathing,6
discharge,6
extending its neck,6
difficulty swallowing,6
eye redness,6
lesions on nose,6
lack of coordination,6
reduce growth,6
rhinorrhea,6
circling,6
bottle jaw,6
gasping for air,6
lathargy,6
scabs,6
headache,6
constipation,6
swollen abdomen,6
malpresentation,6
droopy wings,6
gasping for breath,6
rapid pulse and heart rates,6
muscle pain,6
salivation,6
stomach cramps,6
muscle aches,6
chest pain,6
lameness in affected leg,6
vomitting,6
recumbency,6
urination problem,6
ulcers,5
swelling on leg,5
swollen lymph nodes,5
runny nose,5
fetopelvic dispropotion,5
swelling of face or leg,5
heat,5
enlarged lymph nodes,5
bloody diarrhea,5
uteria inertia,5
lession on the skin,5
noisy breathing,5
lesion,5
joint pain,5
skin issue,5
straining,4
loss of eat,4
sickness,4
immediate death,4
normal appetite,4
inability to stand,4
paresis,4
neck paralysis,4
dejection,4
labored breathing,4
blood from mouth,4
inappentence,4
skin infection,4
watery eyes,4
head tilt,4
tremor,4
lllthrift,4
foul smelling,4
red skin,4
sweating,4
changed gait,4
thirst,4
weakened legs,4
lacrimation,4
itchiness,4
infection,4
stillbirth,4
paralysis,4
hemolytic anemia,4
edema in lower jaw,4
epistaxis,4
halitosis,4
torticollis,4
redness,4
